,percent
silhouettecoefficient,0.03
daviesbouldinindex,0.03
inferenceaccuracy,0.03
bitsecuritylevel,0.03
ciphertextexpansion,0.03
verbalizeduncertainty,0.03
clustervariance,0.03
validationperplexity,0.03
bitaccuracy,0.03
seraccuracy,0.03
valuealignmentscore,0.03
jsdivergence,0.03
inversepropensityscore,0.03
checkpointoverhead,0.03
recoverytime,0.03
planningtime,0.03
bitwidthaverage,0.03
biasscore,0.03
drivingscore,0.03
routecompletion,0.03
infractioncount,0.03
redlightviolation,0.03
paretohypervolume,0.03
locomotionspeed,0.03
longestcommonsubsequence,0.03
averagepopularity,0.03
idiomrecognitionrate,0.03
semscore,0.03
assertionpassrate,0.03
wsc,0.03
policysize,0.03
martingalescore,0.03
llmcallcount,0.03
perturbationnorm,0.03
logspectraldistance,0.03
fréchetaudiodistance,0.03
parametermeanerror,0.03
geodistanceerror,0.03
perspectiveapiscore,0.03
individualpayoff,0.03
cumulativescore,0.03
convergencesteps,0.03
tuningtime,0.03
samplecomplexity,0.03
normalizedregret,0.03
bestfoundaccuracy,0.03
averagerank,0.03
semanticconsistency,0.03
chisquaretest,0.03
averageturnlength,0.03
userretention,0.03
classmatchrate,0.03
tanimotosimilarity,0.03
recall1000,0.03
map5095,0.03
completeness,0.03
giniindex,0.03
querycount,0.03
nlientailment,0.03
llmscore,0.03
iobandwidth,0.03
99thpercentilelatency,0.03
apisuccessrate,0.03
biterrorrate,0.03
stateaccuracy,0.03
beliefaccuracy,0.03
offerratio,0.03
crracoefficient,0.03
totaltokencost,0.03
clickthroughrate,0.03
conversionrate,0.03
humanpreference,0.03
reconstructionaccuracy,0.03
averagevelocity,0.03
3diou,0.03
qwkscore,0.03
meanrecall,0.03
perspectivecoverage,0.03
plancost,0.03
humanwinrate,0.03
visualdependencyindex,0.03
subgoalcompletionrate,0.03
jsonparserate,0.03
schemaadherence,0.03
ppametrics,0.03
gpuvramusage,0.03
intervalwidth,0.03
knowledgegain,0.03
dwelltime,0.03
syntaxvalidityrate,0.03
jointreward,0.03
exploitability,0.03
fidscore,0.03
apicallcount,0.03
retrievalprecision,0.03
verbalizedconfidence,0.03
topkoverlap,0.03
inversescaling,0.03
meanclassaccuracy,0.03
fewshotaccuracy,0.03
physicsconsistencyscore,0.03
averagecausaleffect,0.03
factorloadings,0.03
irtparameters,0.03
attributematchingratio,0.03
forgettingmeasure,0.03
timetocollision,0.03
exposuremetric,0.03
zscore,0.03
contextswitchoverhead,0.03
mcc,0.03
toolmisuserate,0.03
bestofnaccuracy,0.03
responsetoxicity,0.03
labelaccuracy,0.03
plcc,0.03
meanrank,0.03
fvd,0.03
saferesponserate,0.03
formatvalidity,0.03
tablebertscore,0.03
imagereward,0.03
codebleuscore,0.03
costpertoken,0.03
w4a4accuracy,0.03
srcc,0.03
contextrecall,0.03
validationaccuracy,0.03
cumulativeregret,0.03
searchcost,0.03
memoryfragmentation,0.03
asr,0.03
precisionrecall,0.03
disclosurerate,0.03
labelmatchingscore,0.03
susscore,0.03
taskcompletionrate,0.03
languageconsistencyrate,0.03
hammingloss,0.03
formulationaccuracy,0.03
typetokenratio,0.03
syntacticcomplexity,0.03
firsttokenlatency,0.03
hypervolumeindicator,0.03
networkavailability,0.03
citationrecall,0.03
assa,0.03
reasoningfidelity,0.03
riskscore,0.03
bitsperweight,0.03
gradientvariance,0.03
fieldcoveragerate,0.03
dommatchscore,0.03
cotfaithfulness,0.03
passratedrop,0.03
plausibilityrate,0.03
vqascore,0.03
testpassrate,0.03
contextualconsistency,0.03
fleisskappa,0.03
tripleoverlap,0.03
episodelength,0.03
cputhroughput,0.03
statetrackingaccuracy,0.03
rewardstability,0.03
cotconsistency,0.03
rewardscore,0.03
plddt,0.03
meanfirstrank,0.03
spectralmse,0.03
parametermae,0.03
agentbelievability,0.03
pci20,0.03
normalizedexpectedcost,0.03
collectivepayoff,0.03
scrmsd,0.03
tmscore,0.03
sequencerecovery,0.03
robustaccuracy,0.03
runtimespeedup,0.03
allreducelatency,0.03
ksteststatistic,0.03
top1agreement,0.03
serendipityscore,0.03
fpr95tpr,0.03
averagereturn,0.03
streetlevelaccuracy,0.03
meanerrordistance,0.03
countryaccuracy,0.03
temporallogiccompliance,0.03
tpr1fpr,0.03
disparateimpact,0.03
noveltyindex,0.03
legalmoverate,0.03
centipawnloss,0.03
estimatedelo,0.03
slotaccuracy,0.03
sloterrorrate,0.03
topsw,0.03
searchrate,0.03
vmeasure,0.03
statecoverage,0.03
timetofailure,0.03
statefidelity,0.03
semanticnoveltyscore,0.03
costefficiency,0.03
falsealarmrate,0.03
sequenceprobability,0.03
nmi,0.03
ari,0.03
peakvramusage,0.03
consensusrate,0.03
behavioraldrift,0.03
staticanalysisscore,0.03
fpr95,0.03
effectivebandwidth,0.03
normalizedscore,0.03
constraintsatisfactionrate,0.03
forgetaccuracy,0.03
hitrate,0.03
mrr10,0.03
relativeperformancegain,0.03
vectororthogonality,0.03
compilabilityrate,0.03
inferencefps,0.03
reasoningaccuracy,0.03
looseaccuracy,0.03
resolutionrate,0.03
checkpointsize,0.03
savinglatency,0.03
testbenchaccuracy,0.03
paren,0.03
bugdetectionrate,0.03
dragcoefficientaccuracy,0.03
symbolicregressionr2,0.03
slogoodput,0.03
subdomainaccuracy,0.03
tokenoverlap,0.03
labelconsistency,0.03
riskdetectionrate,0.03
planfeasibility,0.03
parsingrate,0.03
solvabilityrate,0.03
planoptimality,0.03
cohensd,0.03
cityaccuracy,0.03
goalconditionsuccess,0.03
averagesteps,0.03
pspk,0.03
logloss,0.03
downstreamaccuracy,0.03
blindrejectionrate,0.03
inferencecount,0.03
instructionfollowingscore,0.03
ned,0.03
pairwiseaccuracy,0.03
synthesistime,0.03
constraintsatisfaction,0.03
persuasionrate,0.03
buildsuccessrate,0.03
resultdeviation,0.03
badgeaccuracy,0.03
inputperplexity,0.03
strouhalnumbererror,0.03
amplituderesponsermse,0.03
jsonvalidityrate,0.03
adefde,0.03
ttc,0.03
jsd,0.03
ablationscore,0.03
factualityscore,0.03
instructioncompliance,0.03
usertrustscore,0.03
codeqlalertcount,0.03
feedbackacceptance,0.03
rmsea,0.03
cfi,0.03
srmr,0.03
examscore,0.03
pvalue,0.03
qwk,0.03
axiserror,0.03
ndcg20,0.03
precision20,0.03
jointaxiserror,0.03
defenseefficacy,0.03
2v2accuracy,0.03
correctionrate,0.03
stancedetection,0.03
sycophancyscore,0.03
validsqlrate,0.03
stepredundancyscore,0.03
traceaccuracy,0.03
hellaswag,0.03
standardizationaccuracy,0.03
totalwholesalecost,0.03
nutritionalconstraintgap,0.03
tokenspeedupratio,0.03
tokenacceptancerate,0.03
averagerewardscore,0.03
hit1,0.03
entailmentprobability,0.03
geometricvalidity,0.03
cumulativereturn,0.03
humannormalizedscore,0.03
meanrelativeerror,0.03
fpr,0.03
accuracyparity,0.03
tprlowfpr,0.03
humaninterventionrate,0.03
stablerank,0.03
languagemodelingscore,0.03
pseudologlikelihood,0.03
hessiantrace,0.03
thermodynamicconsistency,0.03
extrapolationerror,0.03
wordfrequency,0.03
synsetcount,0.03
accuracygap,0.03
frameadherence,0.03
gpt4evaluation,0.03
peakgpumemory,0.03
apicoverage,0.03
bugcount,0.03
transferabilityscore,0.03
dependencyviolationcount,0.03
arcchallenge,0.03
llmjudgescore,0.03
relationprecision,0.03
paretofrontier,0.03
sentimentaccuracy,0.03
oddsratio,0.03
deescalationrate,0.03
tracealignment,0.03
executionmatch,0.03
networkbandwidth,0.03
proofpassrate,0.03
correctionsuccessrate,0.03
povsuccessrate,0.03
complementarityscore,0.03
jailbreakscore,0.03
peaktflops,0.03
toolreusescore,0.03
jsonvalidity,0.03
regard,0.03
transfergap,0.03
averagetraveltime,0.03
queuelength,0.03
evasionrate,0.03
lec,0.03
timetocompromise,0.03
oscescores,0.03
diagnosisaccuracy,0.03
utilityscore,0.03
actionvalidityrate,0.03
perturbationsensitivity,0.03
consensuserror,0.03
secs,0.03
sonarquberating,0.03
binaryaccuracy,0.03
dtwdistance,0.03
partiou,0.03
structuralhammingdistance,0.03
structuralinterventiondistance,0.03
fprdifference,0.03
validityscore,0.03
resourceutilization,0.03
prepostaccuracy,0.03
ngramrepetition,0.03
wupalmersimilarity,0.03
graphdensity,0.03
transitivityviolationrate,0.03
paraphraseconsistency,0.03
preferencestability,0.03
trustalignmentscore,0.03
propagationdepth,0.03
tokenconsumption,0.03
pathvalidity,0.03
matthewscorrelationcoefficient,0.03
gasusage,0.03
syntacticvalidityrate,0.03
imagesimilarity,0.03
vramusage,0.03
aggregatethroughput,0.03
jainsfairness,0.03
averagelatency,0.03
packetloss,0.03
sentimentscore,0.03
forgetquality,0.03
retainaccuracy,0.03
mcd,0.03
shapvalues,0.03
netmonetarybenefit,0.03
iterationcount,0.03
theoreticaldeviation,0.03
terminationrate,0.03
pue,0.03
carbonintensity,0.03
opex,0.03
marginoferror,0.03
querybudget,0.03
legalaccuracy,0.03
trajectorymatch,0.03
adjustmentfrequency,0.03
harmlessnessrate,0.03
confidenceintervalwidth,0.03
effectivesparsity,0.03
detectionauc,0.03
riskytoolrate,0.03
rubricbasedscore,0.03
empathywinrate,0.03
logicalvalidity,0.03
humansafetyreview,0.03
rankcorrelation,0.03
comprehensivenessscore,0.03
worstgroupaccuracy,0.03
riskcoveragearea,0.03
policyentropy,0.03
codecomplexity,0.03
disparityindex,0.03
suspicionscore,0.03
creativityscore,0.03
averageinferencecost,0.03
miascore,0.03
relearningrate,0.03
benignrefusalrate,0.03
trainingflops,0.03
stabilityrate,0.03
voxeliou,0.03
leakagerate,0.03
treeeditdistance,0.03
coveragerate,0.03
gamescore,0.03
achievementrate,0.03
planaccuracy,0.03
totalsystemcost,0.03
cachecompressionrate,0.03
angularerror,0.03
kernellatency,0.03
ngramdiversity,0.03
linearprobingaccuracy,0.03
topkexactness,0.03
softmaxapproximationerror,0.03
falsenegativerate,0.03
benignpassrate,0.03
guardrailaccuracy,0.03
ndcg5,0.03
relativepercentagedeviation,0.03
meanobjectivecost,0.03
meaninferencetime,0.03
costpersolve,0.03
thematicaccuracy,0.03
rulecompliancerate,0.03
diacriticerrorrate,0.03
hypervolume,0.03
harmlessnessscore,0.03
marginalcoverage,0.03
lcom4,0.03
cbo,0.03
refactoringaccuracy,0.03
gpuhours,0.03
parametercount,0.03
mmbench,0.03
pope,0.03
scienceqa,0.03
codebertscore,0.03
clinicalaccuracyscore,0.03
cognitiveloadindex,0.03
experthumaneval,0.03
metaphorretentionrate,0.03
identitydriftrate,0.03
roleaccuracy,0.03
tflops,0.03
codeexecutability,0.03
extractionaccuracy,0.03
structuralvalidity,0.03
topiccoherence,0.03
averagesamplecount,0.03
rankic,0.03
informationcoefficient,0.03
longshortreturn,0.03
rubricalignmentscore,0.03
weat,0.03
averagepowerdraw,0.03
totalenergyjoules,0.03
tokenreductionrate,0.03
halsteadcomplexity,0.03
jainsfairnessindex,0.03
weightedprecision,0.03
systemsurvivaltime,0.03
refusalmatchrate,0.03
costpertask,0.03
hrk,0.03
maxiou,0.03
faultcoverage,0.03
xparacon,0.03
tripleaccuracy,0.03
semanticequivalence,0.03
kvcachesize,0.03
selectiveaccuracy,0.03
apiaccuracy,0.03
speedup,0.03
dramenergy,0.03
counterfactualfairnessgap,0.03
formatcompliance,0.03
cumulativereturns,0.03
sortinoratio,0.03
costperformanceratio,0.03
pairwisewinrate,0.03
geodesicdistance,0.03
accuracyk,0.03
sari,0.03
ragas,0.03
totalprofit,0.03
roi,0.03
noveltyscore,0.03
indirectcausaleffect,0.03
truthfulnessrate,0.03
variancereduction,0.03
psychometricslope,0.03
resourcedepletionrate,0.03
logdistance,0.03
analogyaccuracy,0.03
humaneval,0.03
rubricscore,0.03
rsascore,0.03
selfexplanationscore,0.03
hintusagerate,0.03
mqm,0.03
editsuccessrate,0.03
voltageviolation,0.03
operationalcost,0.03
lineloading,0.03
membershipinference,0.03
astmatch,0.03
harmrate,0.03
averagecost,0.03
restraintscore,0.03
consistencyrate,0.03
standarddeviation,0.03
ckasimilarity,0.03
safetyalignment,0.03
localizationdistance,0.03
timetodetection,0.03
mapk,0.03
uar,0.03
jointaccuracy,0.03
interpretabilityscore,0.03
nasatlx,0.03
riskrecall,0.03
steeringentropy,0.03
perturbationstability,0.03
hits1,0.03
queryefficiency,0.03
programaccuracy,0.03
fixrate,0.03
costperfix,0.03
rewardaccuracy,0.03
normalizedmutualinformation,0.03
dealrate,0.03
jointutility,0.03
passkeyaccuracy,0.03
vulnerabilityinsertionrate,0.03
groupaccuracy,0.03
parsingaccuracy,0.03
editdistance,0.03
filterratio,0.03
ipc,0.03
completenessscore,0.03
mpki,0.03
multihopaccuracy,0.03
reliabilityscore,0.03
portabilityscore,0.03
mapiou,0.03
temporalaccuracy,0.03
moralconsistency,0.03
reasoninglength,0.03
violationdetectionrate,0.03
stlsyntaxaccuracy,0.03
successweightedpathlength,0.03
testretestreliability,0.03
ddirate,0.03
selfcheckgpt,0.03
nliscore,0.03
reidentificationrisk,0.03
harmscore,0.03
expertcallrate,0.03
costsavings,0.03
computationtime,0.03
crossentropyloss,0.03
nexttokenaccuracy,0.03
stylesimilarity,0.03
voteaccuracy,0.03
semanticaccuracy,0.03
perceptualsimilarity,0.03
degradationrate,0.03
hausdorffdistance,0.03
symboliceditdistance,0.03
r2score,0.03
empiricalerrorrate,0.03
retainperplexity,0.03
cvar,0.03
objectivevalue,0.03
approximationratio,0.03
eloscore,0.03
safetyrate,0.03
helpfulnessrating,0.03
astaccuracy,0.03
spectralefficiency,0.03
utilitygain,0.03
rentreduction,0.03
envyfreenessgap,0.03
ragasanswerrelevancy,0.03
totallatency,0.03
selfconsistency,0.03
concordancerate,0.03
biasfrequency,0.03
