,percent
saycan,0.03
smolvlm2256m,0.03
smolvlm2500m,0.03
smolvlm222b,0.03
pythia410m,0.03
afriberta,0.03
pysr,0.03
deepsymbolicregression,0.03
symformer,0.03
smilechat,0.03
heterogeneousgraphtransformer,0.03
pengi,0.03
sparsemoe,0.03
datagovagent,0.03
langchainreact,0.03
swiprolog,0.03
bakllava,0.03
hypergraphtransformer,0.03
hgnn,0.03
han,0.03
heterogeneousgnn,0.03
e5large,0.03
openbiollm8b,0.03
olmo7b,0.03
sguardv1,0.03
plip,0.03
gritlm7b,0.03
baichuan2,0.03
