,count
actionvalidityrate,1
perturbationsensitivity,1
consensuserror,1
secs,1
sonarquberating,1
binaryaccuracy,1
dtwdistance,1
partiou,1
structuralhammingdistance,1
structuralinterventiondistance,1
fprdifference,1
validityscore,1
resourceutilization,1
prepostaccuracy,1
ngramrepetition,1
wupalmersimilarity,1
graphdensity,1
transitivityviolationrate,1
paraphraseconsistency,1
preferencestability,1
trustalignmentscore,1
propagationdepth,1
tokenconsumption,1
pathvalidity,1
matthewscorrelationcoefficient,1
gasusage,1
syntacticvalidityrate,1
imagesimilarity,1
vramusage,1
aggregatethroughput,1
jainsfairness,1
averagelatency,1
packetloss,1
sentimentscore,1
forgetquality,1
retainaccuracy,1
mcd,1
shapvalues,1
netmonetarybenefit,1
iterationcount,1
theoreticaldeviation,1
terminationrate,1
pue,1
carbonintensity,1
opex,1
marginoferror,1
querybudget,1
legalaccuracy,1
trajectorymatch,1
adjustmentfrequency,1
harmlessnessrate,1
confidenceintervalwidth,1
effectivesparsity,1
detectionauc,1
riskytoolrate,1
rubricbasedscore,1
empathywinrate,1
logicalvalidity,1
humansafetyreview,1
rankcorrelation,1
comprehensivenessscore,1
worstgroupaccuracy,1
riskcoveragearea,1
policyentropy,1
codecomplexity,1
disparityindex,1
suspicionscore,1
creativityscore,1
averageinferencecost,1
miascore,1
relearningrate,1
benignrefusalrate,1
trainingflops,1
stabilityrate,1
voxeliou,1
leakagerate,1
treeeditdistance,1
coveragerate,1
gamescore,1
achievementrate,1
planaccuracy,1
totalsystemcost,1
cachecompressionrate,1
angularerror,1
kernellatency,1
ngramdiversity,1
linearprobingaccuracy,1
topkexactness,1
softmaxapproximationerror,1
falsenegativerate,1
benignpassrate,1
guardrailaccuracy,1
ndcg5,1
relativepercentagedeviation,1
meanobjectivecost,1
meaninferencetime,1
costpersolve,1
thematicaccuracy,1
rulecompliancerate,1
diacriticerrorrate,1
hypervolume,1
harmlessnessscore,1
marginalcoverage,1
lcom4,1
cbo,1
refactoringaccuracy,1
gpuhours,1
parametercount,1
mmbench,1
pope,1
scienceqa,1
codebertscore,1
clinicalaccuracyscore,1
cognitiveloadindex,1
experthumaneval,1
metaphorretentionrate,1
identitydriftrate,1
roleaccuracy,1
tflops,1
codeexecutability,1
extractionaccuracy,1
structuralvalidity,1
topiccoherence,1
averagesamplecount,1
rankic,1
informationcoefficient,1
longshortreturn,1
rubricalignmentscore,1
weat,1
averagepowerdraw,1
totalenergyjoules,1
tokenreductionrate,1
halsteadcomplexity,1
jainsfairnessindex,1
weightedprecision,1
systemsurvivaltime,1
refusalmatchrate,1
costpertask,1
hrk,1
maxiou,1
faultcoverage,1
xparacon,1
tripleaccuracy,1
semanticequivalence,1
kvcachesize,1
selectiveaccuracy,1
apiaccuracy,1
speedup,1
dramenergy,1
counterfactualfairnessgap,1
formatcompliance,1
cumulativereturns,1
sortinoratio,1
costperformanceratio,1
pairwisewinrate,1
geodesicdistance,1
accuracyk,1
sari,1
ragas,1
totalprofit,1
roi,1
noveltyscore,1
indirectcausaleffect,1
truthfulnessrate,1
variancereduction,1
psychometricslope,1
resourcedepletionrate,1
logdistance,1
analogyaccuracy,1
humaneval,1
rubricscore,1
rsascore,1
selfexplanationscore,1
hintusagerate,1
mqm,1
editsuccessrate,1
voltageviolation,1
operationalcost,1
lineloading,1
membershipinference,1
astmatch,1
harmrate,1
averagecost,1
restraintscore,1
consistencyrate,1
standarddeviation,1
ckasimilarity,1
safetyalignment,1
localizationdistance,1
timetodetection,1
mapk,1
uar,1
jointaccuracy,1
interpretabilityscore,1
nasatlx,1
riskrecall,1
steeringentropy,1
perturbationstability,1
hits1,1
queryefficiency,1
programaccuracy,1
fixrate,1
costperfix,1
rewardaccuracy,1
normalizedmutualinformation,1
dealrate,1
jointutility,1
passkeyaccuracy,1
vulnerabilityinsertionrate,1
groupaccuracy,1
parsingaccuracy,1
editdistance,1
filterratio,1
ipc,1
completenessscore,1
mpki,1
multihopaccuracy,1
reliabilityscore,1
portabilityscore,1
mapiou,1
temporalaccuracy,1
moralconsistency,1
reasoninglength,1
violationdetectionrate,1
stlsyntaxaccuracy,1
successweightedpathlength,1
testretestreliability,1
ddirate,1
selfcheckgpt,1
nliscore,1
reidentificationrisk,1
harmscore,1
expertcallrate,1
costsavings,1
computationtime,1
crossentropyloss,1
nexttokenaccuracy,1
stylesimilarity,1
voteaccuracy,1
semanticaccuracy,1
perceptualsimilarity,1
degradationrate,1
hausdorffdistance,1
symboliceditdistance,1
r2score,1
empiricalerrorrate,1
retainperplexity,1
cvar,1
objectivevalue,1
approximationratio,1
eloscore,1
safetyrate,1
helpfulnessrating,1
astaccuracy,1
spectralefficiency,1
utilitygain,1
rentreduction,1
envyfreenessgap,1
ragasanswerrelevancy,1
totallatency,1
selfconsistency,1
concordancerate,1
biasfrequency,1
