source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
DeepSeek,Ranking,Tree-Based,8,0.8,11.94,3.6
DeepSeek,Uncertainty,Generative,7,0.7,1.3,25.0
DeepSeek,Ranking,Probabilistic,7,0.7,23.33,3.15
DeepSeek,Efficiency / Latency,Tree-Based,6,0.6,8.96,1.97
DeepSeek,Regression,Linear,6,0.6,17.14,4.76
DeepSeek,Continuous Prediction,CNN,6,0.6,10.53,2.24
DeepSeek,Efficiency / Latency,Probabilistic,6,0.6,20.0,1.97
DeepSeek,Efficiency / Latency,Graph Neural Network (Gnn),5,0.5,11.36,1.64
DeepSeek,Explainability,Generative,5,0.5,0.93,20.0
DeepSeek,Ranking,RNN,5,0.5,20.83,2.25
DeepSeek,Regression,Probabilistic,4,0.4,13.33,3.17
DeepSeek,Regression,Graph Neural Network (Gnn),4,0.4,9.09,3.17
DeepSeek,Ranking,Linear,4,0.4,11.43,1.8
DeepSeek,Efficiency / Latency,RNN,4,0.4,16.67,1.32
DeepSeek,Ranking,Reinforcement Learning (Rl),4,0.4,8.33,1.8
DeepSeek,Continuous Prediction,Linear,4,0.4,11.43,1.49
DeepSeek,Efficiency / Latency,Linear,3,0.3,8.57,0.99
DeepSeek,Continuous Prediction,Probabilistic,3,0.3,10.0,1.12
DeepSeek,Accuracy,Kernel Models,3,0.3,60.0,0.25
DeepSeek,User Experience,Tree-Based,2,0.2,2.99,2.27
DeepSeek,Explainability,CNN,2,0.2,3.51,8.0
DeepSeek,Ranking,Kernel Models,2,0.2,40.0,0.9
DeepSeek,Probability,Tree-Based,2,0.2,2.99,1.74
DeepSeek,Explainability,Tree-Based,2,0.2,2.99,8.0
DeepSeek,User Experience,Linear,2,0.2,5.71,2.27
DeepSeek,Probability,RNN,1,0.1,4.17,0.87
DeepSeek,Probability,Probabilistic,1,0.1,3.33,0.87
DeepSeek,Regression,RNN,1,0.1,4.17,0.79
DeepSeek,User Experience,RNN,1,0.1,4.17,1.14
DeepSeek,User Experience,Reinforcement Learning (Rl),1,0.1,2.08,1.14
DeepSeek,Robustness,Graph Neural Network (Gnn),1,0.1,2.27,1.59
DeepSeek,Uncertainty,Graph Neural Network (Gnn),1,0.1,2.27,3.57
DeepSeek,User Experience,Graph Neural Network (Gnn),1,0.1,2.27,1.14
DeepSeek,Uncertainty,Reinforcement Learning (Rl),1,0.1,2.08,3.57
DeepSeek,Safety,Linear,1,0.1,2.86,0.92
DeepSeek,Safety,Reinforcement Learning (Rl),1,0.1,2.08,0.92
DeepSeek,Robustness,Reinforcement Learning (Rl),1,0.1,2.08,1.59
DeepSeek,Fairness,Reinforcement Learning (Rl),1,0.1,2.08,2.04
DeepSeek,Safety,CNN,1,0.1,1.75,0.92
DeepSeek,Explainability,RNN,1,0.1,4.17,4.0
DeepSeek,Regression,CNN,1,0.1,1.75,0.79
DeepSeek,Probability,CNN,1,0.1,1.75,0.87
DeepSeek,Explainability,Linear,1,0.1,2.86,4.0
DeepSeek,Continuous Prediction,RNN,1,0.1,4.17,0.37
DeepSeek,Probability,Reinforcement Learning (Rl),1,0.1,2.08,0.87
DeepSeek,Uncertainty,Linear,1,0.1,2.86,3.57
