model,GT_percent,GPT-5.1_percent,Gemini_percent,Deepseek_percent,GPT-5.1_over_GT,Gemini_over_GT,Deepseek_over_GT
qwen25,0.275086712,0.213089802,0.298596596,0,0.774627755,1.085463539,0
grok4,0.275086712,0,0,0,0,0,0
qwen3253b,0.275086712,0,0,0,0,0,0
llama3211b,0.275086712,0,0,0,0,0,0
deepseekv31,0.275086712,0,0,0,0,0,0
gemma327b,0.275086712,0,0,0,0,0,0
qwen2515b,0.275086712,0,0,0,0,0,0
gpt4turbo,0.26312642,0.213089802,0.507614213,0,0.809838107,1.929164744,0
o3mini,0.26312642,0,0,0,0,0,0
o4mini,0.26312642,0,0,0,0,0,0
qwen25vl,0.26312642,0,0,0,0,0,0
qwen306b,0.26312642,0,0,0,0,0,0
llama32,0.251166128,0,0,0,0,0,0
gemini3pro,0.251166128,0,0,0,0,0,0
bert,0.239205837,0.152207002,0.597193192,4.112297351,0.63630137,2.496566139,17.19145907
claudesonnet40,0.239205837,0,0,0,0,0,0
gemma312b,0.227245545,0,0,0,0,0,0
claude3opus,0.215285253,0.152207002,0.507614213,0,0.707001522,2.35786802,0
randomforest,0.215285253,0.547945205,0.268736936,0.869909055,2.545205479,1.24828307,4.04072756
llama4maverick,0.215285253,0,0,0,0,0,0
llama3370binstruct,0.215285253,0,0,0,0,0,0
llama3,0.215285253,9.193302892,12.09316214,4.230921313,42.70289193,56.17273813,19.6526295
logisticregression,0.203324961,0.365296804,0.119438638,0.197706603,1.796615633,0.587427327,0.972367595
gpt41nano,0.203324961,0,0,0,0,0,0
o3,0.203324961,0,0,0,0,0,0
qwen2505b,0.191364669,0,0,0,0,0,0
phi35mini,0.191364669,0,0.477754554,0,0,2.496566139,0
qwen3235b,0.191364669,0,0,0,0,0,0
llama33,0.191364669,0,0,0,0,0,0
gemma34b,0.191364669,0.0304414,0.02985966,0.039541321,0.159075342,0.156035384,0.206628114
xgboost,0.179404377,0.669710807,0.477754554,0.237247924,3.732968037,2.663003882,1.322419929
gpt5nano,0.179404377,0,0,0,0,0,0
llama31405b,0.179404377,0,0.02985966,0,0,0.166437743,0
llama17b,0.179404377,0,0,0,0,0,0
gemma29b,0.179404377,0,0.059719319,0,0,0.332875485,0
deepseekv25,0.167444086,0,0,0,0,0,0
qwen3,0.167444086,0,0,0.039541321,0,0,0.236146416
phi4,0.167444086,0,0,0,0,0,0
qwen257bcoder,0.167444086,0,0,0,0,0,0
gemini20flashlite,0.167444086,0,0,0,0,0,0
qwen27b,0.167444086,0.395738204,0.149298298,0,2.363405088,0.891630764,0
gemini10pro,0.155483794,0,0,0,0,0,0
kimik2,0.155483794,0,0,0,0,0,0
internvl378b,0.155483794,0,0,0,0,0,0
clip,0.155483794,0.121765601,0.418035234,0.751285093,0.783140148,2.688609688,4.831918971
gemma3,0.155483794,0,0,0,0,0,0
llama4scout,0.155483794,0,0,0,0,0,0
qwen2514binstruct,0.155483794,0,0,0,0,0,0
gemma7b,0.155483794,0.152207002,0.477754554,0.039541321,0.978925184,3.072696787,0.254311525
qwen3vl235ba22b,0.155483794,0,0,0,0,0,0
mistral7binstructv01,0.143523502,0,0,0,0,0,0
gemma31bit,0.143523502,0,0,0,0,0,0
roberta,0.143523502,0.487062405,0.418035234,1.265322262,3.393607306,2.912660496,8.816132859
gpt2,0.143523502,0.213089802,0.418035234,2.609727165,1.484703196,2.912660496,18.18327402
qwq32b,0.143523502,0,0,0,0,0,0
qwen3plus,0.143523502,0,0,0,0,0,0
qwen330b,0.143523502,0,0,0,0,0,0
qwen3max,0.143523502,0,0,0,0,0,0
deepseekr170b,0.143523502,0,0,0,0,0,0
opt13b,0.13156321,0.0304414,0.209017617,0,0.231382316,1.588723907,0
gpt51,0.13156321,0,0,0,0,0,0
o1mini,0.13156321,0,0,0,0,0,0
ppo,0.13156321,0.517503805,0.268736936,0.434954527,3.933499377,2.042645023,3.306049822
deepseek,0.13156321,0,0,0.039541321,0,0,0.300549984
grpo,0.13156321,0,0,0,0,0,0
grok3,0.13156321,0,0,0,0,0,0
deepseekr132b,0.13156321,0,0,0,0,0,0
internvl3538b,0.119602918,0,0,0,0,0,0
deepseekcoder,0.119602918,0.487062405,1.015228426,0.316330565,4.072328767,8.488324873,2.644839858
qwen2505binstruct,0.119602918,0,0,0,0,0,0
gemma2,0.119602918,0.152207002,0.149298298,0.039541321,1.27260274,1.24828307,0.330604982
magistralsmall,0.119602918,0,0,0,0,0,0
gemma22b,0.119602918,0,0,0,0,0,0
llama4,0.119602918,0,0,0,0,0,0
chatgpt,0.119602918,0,0,0.079082641,0,0,0.661209964
llamaguard2,0.107642626,0.0304414,0,0,0.282800609,0,0
qwen25math7b,0.107642626,0,0,0,0,0,0
llama31405binstruct,0.107642626,0,0,0,0,0,0
grok4fast,0.107642626,0,0,0,0,0,0
mlp,0.107642626,0,0,0,0,0,0
sasrec,0.107642626,0.243531202,0.209017617,0.158165283,2.262404871,1.941773664,1.469355476
lstm,0.107642626,0,0.179157958,0.237247924,0,1.664377426,2.204033215
llama8b,0.107642626,0,0,0,0,0,0
llava15,0.107642626,0.273972603,0,0,2.545205479,0,0
claude45,0.107642626,0,0,0,0,0,0
claude35,0.107642626,2.00913242,0.507614213,0,18.66484018,4.715736041,0
lightgbm,0.107642626,0.152207002,0.209017617,0.118623962,1.414003044,1.941773664,1.102016607
deepseekr1distillllama70b,0.107642626,0,0,0,0,0,0
chatgpt4o,0.107642626,0,0,0.039541321,0,0,0.367338869
gemma327bit,0.107642626,0,0,0,0,0,0
qwen3coder,0.107642626,0,0,0,0,0,0
qwen3vl,0.095682335,0,0,0,0,0,0
vicuna7b,0.095682335,0,0.418035234,0.079082641,0,4.368990744,0.826512456
videollama13b,0.095682335,0,0,0,0,0,0
gemma312bft,0.095682335,0,0,0,0,0,0
gemini15,0.095682335,0.273972603,0.059719319,0.158165283,2.863356164,0.624141535,1.653024911
svm,0.095682335,0,0,0.039541321,0,0,0.413256228
mistral7bv02,0.095682335,0,0,0,0,0,0
lightgcn,0.095682335,0.182648402,0.119438638,0,1.90890411,1.24828307,0
llama270bchat,0.095682335,0,0,0,0,0,0
ministral8b,0.095682335,0,0,0,0,0,0
codellama7b,0.095682335,0,0,0.197706603,0,0,2.066281139
allminilml6v2,0.095682335,0.091324201,0,0,0.954452055,0,0
gptoss,0.095682335,0,0,0.039541321,0,0,0.413256228
codellama13b,0.095682335,0.669710807,0.02985966,0.079082641,6.999315068,0.312070767,0.826512456
deepseekchat,0.095682335,0,0,0,0,0,0
fastv,0.095682335,0,0,0,0,0,0
qwen3embedding06b,0.095682335,0,0,0,0,0,0
claude37,0.095682335,0,0,0,0,0,0
llama,0.083722043,0,0.059719319,1.977066034,0,0.713304611,23.61464159
qwen3embedding,0.083722043,0,0,0,0,0,0
random,0.083722043,0,0,0,0,0,0
minillm,0.083722043,0,0,0,0,0,0
deepseekv32exp,0.083722043,0,0,0,0,0,0
bert4rec,0.083722043,0.213089802,0.059719319,0.158165283,2.545205479,0.713304611,1.889171327
openaio3,0.083722043,0,0,0,0,0,0
gemini20,0.083722043,0,0,0,0,0,0
mistral,0.083722043,0.091324201,0.059719319,1.18623962,1.090802348,0.713304611,14.16878495
sentencebert,0.083722043,0.0304414,0.179157958,0.118623962,0.363600783,2.139913834,1.416878495
mistral3224b,0.083722043,0,0,0,0,0,0
internvl3514b,0.083722043,0,0,0,0,0,0
qwen154b,0.083722043,0,0,0,0,0,0
textembedding3small,0.083722043,0.0304414,0,0,0.363600783,0,0
phi4mini,0.083722043,0,0,0,0,0,0
tinyllama,0.083722043,0.060882801,0.149298298,0.039541321,0.727201566,1.783261528,0.472292832
qwen25omni3b,0.083722043,0,0,0,0,0,0
sft,0.083722043,0,0,0,0,0,0
distilbert,0.083722043,0.152207002,0.149298298,0.434954527,1.818003914,1.783261528,5.195221149
opt67b,0.083722043,0.243531202,0.238877277,0.079082641,2.908806262,2.853218445,0.944585663
deepseekr114b,0.083722043,0,0,0,0,0,0
internlm25,0.083722043,0,0,0,0,0,0
gemma2it27b,0.083722043,0,0,0,0,0,0
deepseek67b,0.071761751,0,0,0,0,0,0
claudeopus41,0.071761751,0,0,0,0,0,0
llava157b,0.071761751,0,0,0,0,0,0
deepseekr10528,0.071761751,0,0,0,0,0,0
minicpmo26,0.071761751,0,0,0,0,0,0
bm25,0.071761751,0.121765601,0.119438638,0.118623962,1.696803653,1.664377426,1.653024911
gpt2large,0.071761751,0.0304414,0,0,0.424200913,0,0
chatgpt5,0.071761751,0,0,0,0,0,0
llavanext,0.071761751,0.334855403,1.015228426,0.039541321,4.666210046,14.14720812,0.551008304
react,0.071761751,0,0,0,0,0,0
gpt2xl,0.071761751,0.182648402,0.119438638,0.039541321,2.545205479,1.664377426,0.551008304
linearregression,0.071761751,0,0,0.118623962,0,0,1.653024911
textembeddingada002,0.071761751,0,0.02985966,0,0,0.416094357,0
textembedding3large,0.071761751,0.060882801,0,0,0.848401826,0,0
bertbase,0.071761751,0,0.238877277,0.079082641,0,3.328754852,1.102016607
qwen25omni,0.071761751,0,0,0,0,0,0
hdbscan,0.071761751,0.0304414,0.02985966,0,0.424200913,0.416094357,0
gemini,0.071761751,0,0,0.632661131,0,0,8.816132859
pythia12b,0.071761751,0.091324201,0.238877277,0,1.27260274,3.328754852,0
llavaov72b,0.071761751,0,0,0,0,0,0
falcon180b,0.071761751,0,0.089578979,0,0,1.24828307,0
llavaonevision,0.059801459,0.091324201,0,0,1.527123288,0,0
llavavideo72b,0.059801459,0,0,0,0,0,0
glm45,0.059801459,0,0,0,0,0,0
minilml6,0.059801459,0,0,0,0,0,0
minilml6v2,0.059801459,0,0,0,0,0,0
sentencetransformer,0.059801459,0,0,0,0,0,0
gpt4o20241120,0.059801459,0,0,0,0,0,0
qwen3coder30b,0.059801459,0,0,0,0,0,0
qwen330ba3b,0.059801459,0,0,0,0,0,0
mistralsmall3124binstruct,0.059801459,0,0,0,0,0,0
mistralnemo,0.059801459,0,0.059719319,0,0,0.998626456,0
llama37b,0.059801459,0,0,0,0,0,0
lora,0.059801459,0,0.059719319,0.039541321,0,0.998626456,0.661209964
resnet18,0.059801459,0.152207002,0.059719319,0,2.545205479,0.998626456,0
o1,0.059801459,0,0,0,0,0,0
mdebertav3,0.059801459,0,0,0,0,0,0
codellama,0.059801459,1.674277017,1.702000597,1.937524713,27.99726027,28.46085399,32.39928826
qwen2audio,0.059801459,0.182648402,0,0,3.054246575,0,0
awq,0.059801459,0,0,0,0,0,0
qwen38bbase,0.059801459,0,0,0,0,0,0
molmo7b,0.059801459,0,0,0,0,0,0
allmpnetbasev1,0.059801459,0,0,0,0,0,0
qwen314bbase,0.059801459,0,0,0,0,0,0
llamaguard,0.059801459,0.182648402,0,0.079082641,3.054246575,0,1.322419929
qwen25coder3b,0.059801459,0,0,0,0,0,0
gru4rec,0.059801459,0.0304414,0,0,0.509041096,0,0
pythia160m,0.059801459,0,0,0,0,0,0
deberta,0.059801459,0.060882801,0.059719319,0.237247924,1.018082192,0.998626456,3.967259786
t5,0.059801459,0,0.059719319,2.491103203,0,0.998626456,41.65622776
mistral8x22b,0.059801459,0,0,0,0,0,0
mistrallarge,0.059801459,1.856925419,1.343684682,0,31.05150685,22.46909525,0
claudehaiku45,0.059801459,0,0,0,0,0,0
claude41opus,0.059801459,0,0,0,0,0,0
kmeans,0.059801459,0,0.02985966,0,0,0.499313228,0
qwen1572b,0.059801459,0,0.059719319,0,0,0.998626456,0
internlm257b,0.059801459,0,0,0,0,0,0
qwenvlmax,0.047841167,0,0.059719319,0,0,1.24828307,0
qwen72b,0.047841167,0,0,0,0,0,0
qwen3next80ba3binstruct,0.047841167,0,0,0,0,0,0
gpt2medium,0.047841167,0.395738204,0.02985966,0,8.271917808,0.624141535,0
robertalarge,0.047841167,0.273972603,0.268736936,0.039541321,5.726712329,5.617273813,0.826512456
cot,0.047841167,0,0,0,0,0,0
cosyvoice2,0.047841167,0,0,0,0,0,0
gpt35turbo0125,0.047841167,0,0,0,0,0,0
gpt4o3,0.047841167,0,0,0,0,0,0
qwen3vl235ba22bthinking,0.047841167,0,0,0,0,0,0
mistralsmall3124b,0.047841167,0,0,0,0,0,0
dpo,0.047841167,0,0,0,0,0,0
llama113b,0.047841167,0,0,0,0,0,0
llavaonevision7b,0.047841167,0,0,0,0,0,0
llm,0.047841167,0,0,0,0,0,0
falcon37b,0.047841167,0,0,0,0,0,0
llavanext7b,0.047841167,0,0,0,0,0,0
dqn,0.047841167,0.121765601,0.059719319,0.118623962,2.545205479,1.24828307,2.479537367
e5mistral7binstruct,0.047841167,0,0,0,0,0,0
xlmroberta,0.047841167,0.334855403,0.268736936,0.316330565,6.999315068,5.617273813,6.612099644
whisper,0.047841167,0.0304414,0.059719319,0.197706603,0.63630137,1.24828307,4.132562278
yolov11,0.047841167,0.0304414,0,0.039541321,0.63630137,0,0.826512456
bgem3,0.047841167,0,0.02985966,0.039541321,0,0.624141535,0.826512456
vitb16,0.047841167,0,0.059719319,0,0,1.24828307,0
deepseekv30324,0.047841167,0,0,0,0,0,0
glm41v9bthinking,0.047841167,0,0,0,0,0,0
glm4v9b,0.047841167,0,0,0,0,0,0
gpt5chat,0.047841167,0,0,0,0,0,0
gpt5high,0.047841167,0,0,0,0,0,0
gpt5thinking,0.047841167,0,0,0,0,0,0
openaio1,0.047841167,0,0.089578979,0,0,1.872424604,0
medgemma27b,0.047841167,0,0,0,0,0,0
openaio3mini,0.047841167,0,0,0,0,0,0
sparsevlm,0.047841167,0,0,0,0,0,0
qwen25math15b,0.047841167,0,0,0,0,0,0
gemma29b8bit,0.047841167,0,0,0,0,0,0
granite328b,0.047841167,0,0,0,0,0,0
mlpclassifier,0.047841167,0.0304414,0,0,0.63630137,0,0
llama318binst,0.047841167,0,0,0,0,0,0
gptq,0.047841167,0,0,0,0,0,0
siglip,0.047841167,0.0304414,0.02985966,0,0.63630137,0.624141535,0
t5large,0.047841167,0,0,0.079082641,0,0,1.653024911
avicuna,0.047841167,0,0,0,0,0,0
tallrec,0.047841167,0,0.209017617,0,0,4.368990744,0
internvl2578b,0.047841167,0,0,0,0,0,0
quip,0.047841167,0,0,0,0,0,0
olmo1b,0.047841167,0,0.02985966,0,0,0.624141535,0
internvl3,0.047841167,0,0,0,0,0,0
cnn,0.047841167,0,0,0,0,0,0
internvl240b,0.047841167,0,0,0,0,0,0
kimik2thinking,0.047841167,0,0,0,0,0,0
itransformer,0.047841167,0,0.059719319,0,0,1.24828307,0
llavamed,0.047841167,0.121765601,0.238877277,0.079082641,2.545205479,4.993132278,1.653024911
bytetrack,0.047841167,0,0.02985966,0,0,0.624141535,0
decisiontree,0.047841167,0,0,0,0,0,0
llava7b,0.047841167,0,0,0,0,0,0
deepseekr1distill,0.047841167,0,0.02985966,0,0,0.624141535,0
deepseekr18b,0.047841167,0,0,0,0,0,0
dkt,0.047841167,0.060882801,0.02985966,0,1.27260274,0.624141535,0
dinov2,0.035880875,0,0.02985966,0,0,0.832188713,0
dlinear,0.035880875,0,0,0,0,0,0
vicuna7bv15,0.035880875,0,0.089578979,0,0,2.496566139,0
videollama27b,0.035880875,0,0,0,0,0,0
adalora,0.035880875,0,0,0,0,0,0
deepsport,0.035880875,0,0,0,0,0,0
deepseekr1qwen32b,0.035880875,0,0,0,0,0,0
wanda,0.035880875,0,0,0,0,0,0
wavlm,0.035880875,0,0,0,0,0,0
wizardvicuna13b,0.035880875,0,0,0,0,0,0
openllama27b,0.035880875,0,0,0,0,0,0
openllama3b,0.035880875,0,0,0,0,0,0
bgelarge,0.035880875,0.091324201,0,0,2.545205479,0,0
bgereranker,0.035880875,0,0,0,0,0,0
bgesmall,0.035880875,0,0,0,0,0,0
openthinker27b,0.035880875,0,0,0,0,0,0
opt,0.035880875,0,0.268736936,0.118623962,0,7.489698417,3.306049822
opt30b,0.035880875,0,0,0,0,0,0
lingshu7b,0.035880875,0,0,0,0,0,0
llada,0.035880875,0,0,0,0,0,0
phi15,0.035880875,0,0,0,0,0,0
claudesonnet37,0.035880875,0,0,0,0,0,0
claude,0.035880875,0,0,0.355871886,0,0,9.918149466
kimi,0.035880875,0,0,0,0,0,0
clipvit,0.035880875,0.060882801,0.119438638,0,1.696803653,3.328754852,0
phi3538b,0.035880875,0,0,0,0,0,0
phi4multimodal,0.035880875,0,0,0,0,0,0
internvl35,0.035880875,0,0,0,0,0,0
internvl352b,0.035880875,0,0,0,0,0,0
qwen,0.035880875,0,0,0,0,0,0
isolationforest,0.035880875,0.060882801,0.02985966,0.039541321,1.696803653,0.832188713,1.102016607
omniquant,0.035880875,0,0,0,0,0,0
openbiollm,0.035880875,0,0,0,0,0,0
qwen2,0.035880875,0.243531202,0.119438638,0,6.787214612,3.328754852,0
bartlargemnli,0.035880875,0,0,0,0,0,0
baseline,0.035880875,0,0,0,0,0,0
grok3mini,0.035880875,0,0,0,0,0,0
grpomodel,0.035880875,0,0,0,0,0,0
gteqwen215binstruct,0.035880875,0,0,0,0,0,0
llama31tulu318b,0.035880875,0,0,0,0,0,0
naivebayes,0.035880875,0,0,0,0,0,0
nemotronelastic12b,0.035880875,0,0,0,0,0,0
novapro,0.035880875,0,0,0,0,0,0
nvembedv2,0.035880875,0,0,0,0,0,0
llama3211bvision,0.035880875,0,0,0,0,0,0
gradientdescent,0.035880875,0,0,0,0,0,0
granite308binstruct,0.035880875,0,0,0,0,0,0
graphsage,0.035880875,0.456621005,0.119438638,0.118623962,12.7260274,3.328754852,3.306049822
grok2,0.035880875,0,0,0,0,0,0
qwen3235ba22binstruct2507,0.035880875,0,0,0,0,0,0
qwen3235bthinking,0.035880875,0,0,0,0,0,0
qwen330ba3binstruct2507,0.035880875,0,0,0,0,0,0
gpt5codex,0.035880875,0,0,0,0,0,0
qwen3b,0.035880875,0,0,0,0,0,0
qwen3coder480b,0.035880875,0,0,0,0,0,0
autoencoder,0.035880875,0,0.02985966,0,0,0.832188713,0
mistralinstruct,0.035880875,0.182648402,0,0,5.090410959,0,0
mistralmedium,0.035880875,0.0304414,0,0,0.848401826,0,0
mistralsmall3124binstruct2503,0.035880875,0,0,0,0,0,0
qwen3vl235ba22binstruct,0.035880875,0,0,0,0,0,0
qwen3vl4b,0.035880875,0,0,0,0,0,0
qwen3vl8binstruct,0.035880875,0,0,0,0,0,0
astgcn,0.035880875,0,0,0,0,0,0
qwen8b,0.035880875,0,0,0,0,0,0
qwenimage,0.035880875,0,0,0,0,0,0
qwenvlchat,0.035880875,0.0304414,0.179157958,0,0.848401826,4.993132278,0
gpt35turbo1106,0.035880875,0,0,0,0,0,0
reflexion,0.035880875,0,0,0,0,0,0
reinforce,0.035880875,0,0,0,0,0,0
resnet50,0.035880875,0.121765601,0.119438638,0.158165283,3.393607306,3.328754852,4.408066429
robertabase,0.035880875,0.273972603,0.02985966,0,7.635616438,0.832188713,0
rome,0.035880875,0,0,0,0,0,0
aqlm,0.035880875,0,0,0,0,0,0
safedecoding,0.035880875,0,0,0,0,0,0
gpt2small,0.035880875,0.456621005,0.02985966,0.079082641,12.7260274,0.832188713,2.204033215
mixtral,0.035880875,0,0,0.316330565,0,0,8.816132859
minimaxm2,0.035880875,0,0,0,0,0,0
mistral7b01v,0.035880875,0,0,0,0,0,0
sbert,0.035880875,0,0.02985966,0,0,0.832188713,0
selfreminder,0.035880875,0,0,0,0,0,0
gliner,0.035880875,0,0,0,0,0,0
glm45v,0.035880875,0,0,0,0,0,0
glm46,0.035880875,0,0,0,0,0,0
tablellama,0.035880875,0,0,0,0,0,0
smoothllm,0.035880875,0,0,0,0,0,0
geminipro15,0.035880875,0,0,0,0,0,0
spacy,0.035880875,0,0,0,0,0,0
speechformer,0.035880875,0,0,0,0,0,0
stablediffusion,0.035880875,0.121765601,0.02985966,0.039541321,3.393607306,0.832188713,1.102016607
starcoder,0.035880875,0,0.149298298,0.237247924,0,4.160943565,6.612099644
llama4scout17b,0.035880875,0,0,0,0,0,0
meddr,0.035880875,0,0,0,0,0,0
llara,0.035880875,0,0,0,0,0,0
llava,0.035880875,1.126331811,0.268736936,2.016607355,31.39086758,7.489698417,56.20284698
ddpg,0.035880875,0.0304414,0.02985966,0,0.848401826,0.832188713,0
gat,0.035880875,0.121765601,0.209017617,0.079082641,3.393607306,5.825320991,2.204033215
td3,0.035880875,0,0,0,0,0,0
tfidf,0.035880875,0,0,0,0,0,0
tiger,0.035880875,0,0,0,0,0,0
agrace,0.035880875,0,0,0,0,0,0
timesnet,0.035880875,0,0.02985966,0,0,0.832188713,0
gcn,0.035880875,0.091324201,0.119438638,0.197706603,2.545205479,3.328754852,5.510083037
visionzip,0.035880875,0,0,0,0,0,0
umap,0.035880875,0,0,0.039541321,0,0,1.102016607
f5tts,0.035880875,0,0,0,0,0,0
falcon31b,0.035880875,0,0,0,0,0,0
fasttext,0.035880875,0.0304414,0,0,0.848401826,0,0
flant5,0.035880875,0.060882801,0.238877277,0.158165283,1.696803653,6.657509704,4.408066429
llavav16,0.035880875,0,0.02985966,0,0,0.832188713,0
llmesr,0.035880875,0,0,0,0,0,0
catboost,0.035880875,0,0,0,0,0,0
yolov5,0.035880875,0,0,0,0,0,0
z3,0.035880875,0,0,0,0,0,0
zeroshot,0.035880875,0,0,0,0,0,0
tinyllama11b,0.023920584,0,0.149298298,0,0,6.241415348,0
titanembedtextv1,0.023920584,0,0,0,0,0,0
tome,0.023920584,0,0,0,0,0,0
transe,0.023920584,0.060882801,0,0,2.545205479,0,0
transrmot,0.023920584,0,0.02985966,0,0,1.24828307,0
transtrack,0.023920584,0,0,0,0,0,0
trim,0.023920584,0,0,0,0,0,0
tsne,0.023920584,0,0,0,0,0,0
uniad,0.023920584,0,0,0,0,0,0
unieval,0.023920584,0,0,0,0,0,0
unifiedio2xxl,0.023920584,0,0,0,0,0,0
unimol,0.023920584,0,0,0,0,0,0
unsupervisedbaseline,0.023920584,0,0,0,0,0,0
vcd,0.023920584,0,0,0,0,0,0
vicuna13b,0.023920584,0,0.388175575,0.039541321,0,16.2276799,1.653024911
dolphin291llama38b,0.023920584,0,0,0,0,0,0
mcm,0.023920584,0,0,0,0,0,0
mem0,0.023920584,0,0,0,0,0,0
metagpt,0.023920584,0,0.119438638,0,0,4.993132278,0
metallama3170b,0.023920584,0,0,0,0,0,0
metallama318b,0.023920584,0,0,0,0,0,0
metallama370binstruct,0.023920584,0,0,0,0,0,0
mf,0.023920584,0,0,0,0,0,0
llamaguard7b,0.023920584,0,0,0,0,0,0
llamaomni27b,0.023920584,0,0,0,0,0,0
llamavision,0.023920584,0,0,0,0,0,0
llambo,0.023920584,0,0,0,0,0,0
llasa,0.023920584,0,0,0,0,0,0
llava1513b,0.023920584,0,0,0,0,0,0
llavamed7b,0.023920584,0,0,0,0,0,0
llavanext13b,0.023920584,0,0,0,0,0,0
llavav1634b,0.023920584,0,0,0,0,0,0
mimovl7bsft,0.023920584,0,0,0,0,0,0
mingliteomni,0.023920584,0,0,0,0,0,0
minicpmv25,0.023920584,0,0,0,0,0,0
ministral8binstruct2410,0.023920584,0,0,0,0,0,0
llama33nemotron,0.023920584,0,0,0,0,0,0
llama4scout17b16e,0.023920584,0,0,0,0,0,0
llama4scout17b16einstruct,0.023920584,0,0,0,0,0,0
chatdev,0.023920584,0,0.02985966,0,0,1.24828307,0
chatglm,0.023920584,0,0,0.079082641,0,0,3.306049822
chatglm26b,0.023920584,0,0,0,0,0,0
llamaguard28b,0.023920584,0,0,0,0,0,0
llamaguard31b,0.023920584,0,0,0,0,0,0
magistralmedium2506,0.023920584,0,0,0,0,0,0
marcollmarv2,0.023920584,0,0,0,0,0,0
mask3d,0.023920584,0,0,0,0,0,0
maskgct,0.023920584,0,0,0,0,0,0
neuralnetwork,0.023920584,0,0,0.039541321,0,0,1.653024911
nrpagdlevel1,0.023920584,0,0,0,0,0,0
bitnet2b,0.023920584,0,0,0,0,0,0
nvila8b,0.023920584,0,0,0,0,0,0
llama3211bvisioninstruct,0.023920584,0,0,0,0,0,0
llama3211bvisioninstructturbo,0.023920584,0,0,0,0,0,0
chatglm4,0.023920584,0,0.02985966,0,0,1.24828307,0
chatgpt41mini,0.023920584,0,0,0,0,0,0
chatgpt5mini,0.023920584,0,0,0,0,0,0
chatgpt5pro,0.023920584,0,0,0,0,0,0
llama3290b,0.023920584,0,0,0,0,0,0
mistralft1,0.023920584,0,0,0,0,0,0
mistralnemo12b,0.023920584,0,0.02985966,0,0,1.24828307,0
bleurtmodel,0.023920584,0,0,0,0,0,0
blip2,0.023920584,0.700152207,0.418035234,0.790826414,29.26986301,17.47596297,33.06049822
mimovl7brl,0.023920584,0,0,0,0,0,0
olmo2,0.023920584,0,0,0,0,0,0
olmo27b,0.023920584,0,0,0,0,0,0
biomedicalllama38b,0.023920584,0,0,0,0,0,0
llama2mathchat13b,0.023920584,0,0,0,0,0,0
llama2progchat13b,0.023920584,0,0,0,0,0,0
