,percent
unigrammodel,0.03
proximalpolicyoptimization,0.03
siamesetransformer,0.03
internvl2,0.03
tabtransformer,0.03
bilstm,0.03
medllama27b,0.03
xceptionnet,0.03
mentalllama,0.03
mt5xl,0.03
typearrayitemstypestringmaxwords3descriptionspecificopensourcellmorarchitecturenamedescriptionlistofoneormoreappropriatemodelsorarchitectures,0.03
minkowskinet,0.03
namegptj6bcategorydecoderonly,0.03
namellama27bcategorydecoderonly,0.03
allminilm,0.03
han,0.03
gpt2large,0.03
contriever,0.03
tabert,0.03
tapas,0.03
pubmedbert,0.03
finbert,0.03
zephyr7b,0.03
datagovagent,0.03
cmaes,0.03
mixtureofexpertsllm,0.03
gcnlstm,0.03
