source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GPT-5.1,User Experience,Graph Neural Network (Gnn),4,0.4,5.26,2.48
GPT-5.1,Probability,RNN,3,0.3,10.0,1.3
GPT-5.1,Continuous Prediction,RNN,3,0.3,10.0,0.74
GPT-5.1,Efficiency / Latency,Graph Neural Network (Gnn),3,0.3,3.95,0.89
GPT-5.1,Explainability,Generative,3,0.3,0.36,33.33
GPT-5.1,User Experience,Tree-Based,3,0.3,3.09,1.86
GPT-5.1,Probability,CNN,3,0.3,3.7,1.3
GPT-5.1,Probability,Probabilistic,3,0.3,7.14,1.3
GPT-5.1,Ranking,Kernel Models,2,0.2,28.57,0.43
GPT-5.1,Safety,Graph Neural Network (Gnn),2,0.2,2.63,1.28
GPT-5.1,Efficiency / Latency,RNN,2,0.2,6.67,0.59
GPT-5.1,Safety,Tree-Based,2,0.2,2.06,1.28
GPT-5.1,Uncertainty,Reinforcement Learning (Rl),2,0.2,2.67,6.67
GPT-5.1,Safety,CNN,2,0.2,2.47,1.28
GPT-5.1,Accuracy,Kernel Models,2,0.2,28.57,0.15
GPT-5.1,Regression,Probabilistic,2,0.2,4.76,1.01
GPT-5.1,User Experience,Linear,2,0.2,3.23,1.24
GPT-5.1,Fairness,Tree-Based,2,0.2,2.06,4.44
GPT-5.1,User Experience,Probabilistic,2,0.2,4.76,1.24
GPT-5.1,Efficiency / Latency,Kernel Models,1,0.1,14.29,0.3
GPT-5.1,Uncertainty,Graph Neural Network (Gnn),1,0.1,1.32,3.33
GPT-5.1,Regression,Kernel Models,1,0.1,14.29,0.51
GPT-5.1,Safety,Kernel Models,1,0.1,14.29,0.64
GPT-5.1,Fairness,Reinforcement Learning (Rl),1,0.1,1.33,2.22
GPT-5.1,Robustness,Graph Neural Network (Gnn),1,0.1,1.32,1.49
GPT-5.1,Robustness,Tree-Based,1,0.1,1.03,1.49
