source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GPT-5.1,Explainability,Other / Academic,2,0.2,0.21,11.76
GPT-5.1,Uncertainty,DeepSeek,2,0.2,2.0,4.08
GPT-5.1,Continuous Prediction,Stability AI,2,0.2,20.0,0.27
GPT-5.1,User Experience,Stability AI,2,0.2,20.0,0.63
GPT-5.1,Uncertainty,Anthropic,1,0.1,0.4,2.04
GPT-5.1,Efficiency / Latency,Stability AI,1,0.1,10.0,0.17
GPT-5.1,Ranking,Stability AI,1,0.1,10.0,0.14
GPT-5.1,Accuracy,NVIDIA / NeMo,1,0.1,25.0,0.04
GPT-5.1,Ranking,NVIDIA / NeMo,1,0.1,25.0,0.14
GPT-5.1,Robustness,DeepSeek,1,0.1,1.0,0.8
GPT-5.1,Fairness,Microsoft Research,1,0.1,0.62,1.09
GPT-5.1,Uncertainty,Alibaba / Qwen team,1,0.1,0.47,2.04
GPT-5.1,Explainability,DeepSeek,1,0.1,1.0,5.88
GPT-5.1,Probability,NVIDIA / NeMo,1,0.1,25.0,0.22
GPT-5.1,Efficiency / Latency,NVIDIA / NeMo,1,0.1,25.0,0.17
GPT-5.1,Safety,Hugging Face,1,0.1,1.14,0.35
