,percent
spectralmse,0.03
communityalignment,0.03
epistemicstability,0.03
stanceconsistency,0.03
llmcallcount,0.03
mase,0.03
smape,0.03
roundtripaccuracy,0.03
saliencyaccuracy,0.03
moralfoundationaccuracy,0.03
bitaccuracy,0.03
sustainabilityindex,0.03
averagepayoff,0.03
stressresilience,0.03
alignmentconsistency,0.03
ethicalentropy,0.03
adaptationscore,0.03
motionfid,0.03
tasksuccess,0.03
turnefficiency,0.03
chair,0.03
legalaccuracy,0.03
stepcorrectionrate,0.03
rectificationaccuracy,0.03
failovertime,0.03
checkpointtime,0.03
trainingloss,0.03
egoismscore,0.03
miaaucroc,0.03
miaaccuracy,0.03
giniindex,0.03
itemexposuredisparity,0.03
falserejectionrate,0.03
refusalinconsistencyrate,0.03
semanticconfusionscore,0.03
securitybits,0.03
timetofirsttoken,0.03
coldstartlatency,0.03
sentimentaccuracy,0.03
fairnessdiscrepancy,0.03
jsdivergence,0.03
convergenceiterations,0.03
groundingaccuracy,0.03
taskcompletion,0.03
emotionaccuracy,0.03
temporalprecision,0.03
hierarchicalscore,0.03
uniquecrashes,0.03
pathlength,0.03
planningtime,0.03
positionalaccuracy,0.03
attacksuccess,0.03
politicalbias,0.03
tokenlevelaccuracy,0.03
datafidelity,0.03
meanrank,0.03
energysavings,0.03
averageturns,0.03
toolbench,0.03
gsm8k,0.03
mmlu,0.03
beliefconsistency,0.03
actionaccuracy,0.03
riskmeasure,0.03
costperinference,0.03
generationspeed,0.03
selfbleu,0.03
normalizedmutualinformation,0.03
adjustedrandindex,0.03
drivingscore,0.03
fairnessgap,0.03
chisquared,0.03
confidencescore,0.03
validationaccuracy,0.03
chisquaregoodnessoffit,0.03
wassersteindistance,0.03
kolmogorovsmirnovstatistic,0.03
plancost,0.03
silhouette,0.03
quadratickappa,0.03
pluralismscore,0.03
creativitymetric,0.03
relevancescore,0.03
humanfunniness,0.03
clickthroughrate,0.03
shapanalysis,0.03
parameterreconstructionaccuracy,0.03
bypassrate,0.03
jaccardsimilarity,0.03
trials,0.03
time,0.03
expertcomparison,0.03
toolmisusescore,0.03
threatfrequencyrate,0.03
threatseverityscore,0.03
cpuutilization,0.03
piirecall,0.03
aucpr,0.03
cka,0.03
bandwidthusage,0.03
gradecorrelation,0.03
shapvaluecorrelation,0.03
beliefactioncoherence,0.03
shannonentropy,0.03
sequencerecovery,0.03
tmscore,0.03
jaccardindex,0.03
fleisskappa,0.03
toolreuserate,0.03
optimizationqualityscore,0.03
demographicbias,0.03
inferencecost,0.03
clinicaltrialoverlap,0.03
serenqavalidation,0.03
riskprevalence,0.03
severityscore,0.03
semanticentropy,0.03
aucscore,0.03
toolutilization,0.03
coordinationscore,0.03
preferenceaccuracy,0.03
stepefficiency,0.03
reasoningscore,0.03
parallelcoverage,0.03
vulnerabilityrate,0.03
passk,0.03
inputcoverage,0.03
syntaxcorrectness,0.03
timetomitigate,0.03
retainaccuracy,0.03
meanreward,0.03
humaninterventionfrequency,0.03
concealmentrate,0.03
disclosurerate,0.03
vulnerabilitycount,0.03
functionscore,0.03
perceptionaverage,0.03
susscore,0.03
meandistance,0.03
answeraccuracy,0.03
em,0.03
guidelinescore,0.03
syntaxscore,0.03
jointaccuracy,0.03
spectrumreconstructionerror,0.03
designaccuracy,0.03
decisioncost,0.03
riskcoverage,0.03
repetitionrate,0.03
stepreduction,0.03
area,0.03
excessrisk,0.03
savingtime,0.03
checkpointsize,0.03
editdistance,0.03
fidelityscore,0.03
adaptationspeed,0.03
scalability,0.03
truthfulness,0.03
compilationsuccess,0.03
objectivecorrectness,0.03
constraintaccuracy,0.03
exactmatchaccuracy,0.03
intercoderagreement,0.03
humaneval,0.03
harmscore,0.03
biasmetric,0.03
faultdetection,0.03
taskcompletionrate,0.03
aic,0.03
faithfulness,0.03
stabilityindex,0.03
astmatch,0.03
improvementrate,0.03
energyconsumption,0.03
covertnessscore,0.03
toolusagereliability,0.03
testscore,0.03
forecastaccuracy,0.03
mutualinformation,0.03
tasktime,0.03
resolutionaccuracy,0.03
hitratio,0.03
toolaccuracy,0.03
charactererrorrate,0.03
semanticvalidity,0.03
syntacticvalidity,0.03
dialogueconsistency,0.03
goodput,0.03
latencyoverhead,0.03
toxicity,0.03
persuasionscore,0.03
riskawareness,0.03
conversionrate,0.03
controladherence,0.03
correlationcoefficient,0.03
logloss,0.03
harmlessnessscore,0.03
blindrejectionrate,0.03
lemmaaccuracy,0.03
constraintsatisfaction,0.03
expectedcost,0.03
solutionerror,0.03
peakmemory,0.03
defenseefficacy,0.03
validitypercentage,0.03
ablationaccuracy,0.03
agreementscore,0.03
tokencompressionratio,0.03
securitycompliancescore,0.03
elorating,0.03
moveaccuracy,0.03
quadraticweightedkappa,0.03
publicationacceptance,0.03
feasibilityrate,0.03
interpretabilityscore,0.03
traceabilityscore,0.03
redundancyscore,0.03
optimizationiterations,0.03
rewardvariance,0.03
codeaccuracy,0.03
statisticalparity,0.03
trainingspeed,0.03
checklistcompliance,0.03
tomaccuracy,0.03
syntaxvalidity,0.03
llmjudge,0.03
urdfvalidity,0.03
articulationaccuracy,0.03
taskdiversity,0.03
averagereward,0.03
dtw,0.03
timetoproof,0.03
averageprooflength,0.03
proofsuccessrate,0.03
cronbachsalpha,0.03
makespan,0.03
defenseevasionrate,0.03
generalizationerror,0.03
calibration,0.03
corpusdiversity,0.03
rmsea,0.03
humanlikert,0.03
cfi,0.03
pathvalidity,0.03
factorloadings,0.03
polysemyscore,0.03
hit1,0.03
mdpaccuracy,0.03
systemrobustness,0.03
defenseaccuracy,0.03
bandwidthutilization,0.03
flopsreduction,0.03
debtdensity,0.03
architectureconformancescore,0.03
transferrate,0.03
errorcorrection,0.03
steppreservation,0.03
biasdisparity,0.03
feedbacklatency,0.03
stepaccuracy,0.03
krippendorffalpha,0.03
modelsparsity,0.03
memory,0.03
averagetraveltime,0.03
peakthroughputfraction,0.03
perturbationimpact,0.03
detectiontime,0.03
areaoverhead,0.03
evasionrate,0.03
injectionsuccessrate,0.03
interactionquality,0.03
clinicalaccuracy,0.03
contextdivergence,0.03
datatransferred,0.03
bayesianoptimalityscore,0.03
harmfulnessrate,0.03
autocorrelation,0.03
commandaccuracy,0.03
policyefficiency,0.03
verificationtime,0.03
utilitypreservation,0.03
forgettingcompleteness,0.03
f0stability,0.03
speakersimilarity,0.03
calibrationscore,0.03
stereotypescore,0.03
envtracescore,0.03
statisticalindependence,0.03
cachehitrate,0.03
operationtime,0.03
benignrefusalrate,0.03
promptalignment,0.03
layoutcoherence,0.03
efficiencyratio,0.03
scalabilityfactor,0.03
odrlvalidity,0.03
harmfulrate,0.03
responsesimilarity,0.03
learninggain,0.03
debuggingsuccess,0.03
reflectiondepth,0.03
testsuitepassrate,0.03
deescalationsuccess,0.03
toxicityreduction,0.03
latencysatisfaction,0.03
constraintviolationrate,0.03
allocationaccuracy,0.03
chairscore,0.03
acceptancescore,0.03
faultdetectionrate,0.03
shd,0.03
overfittingratio,0.03
abstentionaccuracy,0.03
humanlikeness,0.03
finetuningresilience,0.03
jailbreakrate,0.03
rsquaredscore,0.03
nasatlxscore,0.03
adjustmentcount,0.03
taskcompletiontime,0.03
explanationfluency,0.03
resourceusage,0.03
fairness,0.03
r2,0.03
hits1,0.03
safetyrate,0.03
gasusage,0.03
computationallatency,0.03
missionsuccessrate,0.03
coverageefficiency,0.03
parametervariance,0.03
reliability,0.03
traitconsistency,0.03
grade,0.03
stealthscore,0.03
executionsteps,0.03
bounderror,0.03
iterationmse,0.03
terminationaccuracy,0.03
memoryfootprint,0.03
trainingtokens,0.03
pass10,0.03
selectionaccuracy,0.03
biasdetectionscore,0.03
equalizedodds,0.03
assemblyaccuracy,0.03
ssim,0.03
epsilonviolation,0.03
topkaccuracy,0.03
utilizationrate,0.03
totalcost,0.03
distinct2,0.03
sloviolations,0.03
offlinethroughput,0.03
onlinelatency,0.03
energyuse,0.03
fluencyscore,0.03
solutiondiversity,0.03
humanjudgementscore,0.03
searchtime,0.03
responsecompliance,0.03
defensesuccessrate,0.03
xtremescore,0.03
nashequilibriumdeviation,0.03
ginicoefficient,0.03
dataleakage,0.03
privacyscore,0.03
queryaccuracy,0.03
clinicalsurveys,0.03
readability,0.03
trialcount,0.03
temporalconsistencyscore,0.03
informationcoefficient,0.03
stylestability,0.03
retryrate,0.03
alpha,0.03
scorecorrelation,0.03
xparacon,0.03
strategyaccuracy,0.03
payoffscore,0.03
monetarycost,0.03
runtimecost,0.03
solutionquality,0.03
attentionentropy,0.03
architecturalvalidityrate,0.03
driftscore,0.03
structuraldiversity,0.03
intentpreservation,0.03
constraintcompliance,0.03
humancorrelation,0.03
temporalconsistency,0.03
ruleprecision,0.03
surveyscores,0.03
knowledgecoherence,0.03
convergencetime,0.03
controllerarea,0.03
energyefficiency,0.03
disparityindex,0.03
kvcachememory,0.03
score,0.03
profit,0.03
temporalmap,0.03
videoqaaccuracy,0.03
correctnessrate,0.03
feedbackquality,0.03
difficultycorrelation,0.03
culturalbiasscore,0.03
carecompleteness,0.03
harmseverity,0.03
harmfrequency,0.03
reactiontime,0.03
endtoendscore,0.03
biasvariance,0.03
migrationaccuracy,0.03
riskcoverageauc,0.03
selectiveaccuracy,0.03
powerloss,0.03
voltagedeviation,0.03
stylematch,0.03
costsaving,0.03
explanationfidelity,0.03
pragmaticquality,0.03
rubricscore,0.03
variance,0.03
benchmarkaccuracy,0.03
stablerank,0.03
specificity,0.03
traininglossvariance,0.03
averagestepcount,0.03
triggeredaccuracy,0.03
harmfuloutputscore,0.03
misalignmentrate,0.03
readabilityindex,0.03
interpretability,0.03
retentionrate,0.03
forgettingrate,0.03
clinicalutility,0.03
privacyloss,0.03
carerestraint,0.03
gsm8kaccuracy,0.03
expertusage,0.03
routerentropy,0.03
safetyviolationcount,0.03
guidelineadherencescore,0.03
cognitivebiaserrorrate,0.03
truthfulnessscore,0.03
planlength,0.03
wordordererrorrate,0.03
bartscore,0.03
ate,0.03
therapeuticalliance,0.03
clinicalappropriateness,0.03
ipc,0.03
topologyscore,0.03
costefficiencyratio,0.03
stereosetscore,0.03
networkthroughput,0.03
ndcg5,0.03
chrf,0.03
ter,0.03
embeddingsimilarity,0.03
symbolicrecoveryrate,0.03
endtoendlatency,0.03
tokenentropy,0.03
speakerconsistency,0.03
perplexityscore,0.03
welfareloss,0.03
envyscore,0.03
paymentdeviation,0.03
leakagescore,0.03
humanevalpass1,0.03
