,count,percent
articulationaccuracy,1,0.03
taskdiversity,1,0.03
averagereward,1,0.03
dtw,1,0.03
timetoproof,1,0.03
averageprooflength,1,0.03
proofsuccessrate,1,0.03
cronbachsalpha,1,0.03
makespan,1,0.03
defenseevasionrate,1,0.03
generalizationerror,1,0.03
calibration,1,0.03
corpusdiversity,1,0.03
rmsea,1,0.03
humanlikert,1,0.03
cfi,1,0.03
pathvalidity,1,0.03
factorloadings,1,0.03
polysemyscore,1,0.03
hit1,1,0.03
mdpaccuracy,1,0.03
systemrobustness,1,0.03
defenseaccuracy,1,0.03
bandwidthutilization,1,0.03
flopsreduction,1,0.03
debtdensity,1,0.03
architectureconformancescore,1,0.03
transferrate,1,0.03
errorcorrection,1,0.03
steppreservation,1,0.03
biasdisparity,1,0.03
feedbacklatency,1,0.03
stepaccuracy,1,0.03
krippendorffalpha,1,0.03
modelsparsity,1,0.03
memory,1,0.03
averagetraveltime,1,0.03
peakthroughputfraction,1,0.03
perturbationimpact,1,0.03
detectiontime,1,0.03
areaoverhead,1,0.03
evasionrate,1,0.03
injectionsuccessrate,1,0.03
interactionquality,1,0.03
clinicalaccuracy,1,0.03
contextdivergence,1,0.03
datatransferred,1,0.03
bayesianoptimalityscore,1,0.03
harmfulnessrate,1,0.03
autocorrelation,1,0.03
commandaccuracy,1,0.03
policyefficiency,1,0.03
verificationtime,1,0.03
utilitypreservation,1,0.03
forgettingcompleteness,1,0.03
f0stability,1,0.03
speakersimilarity,1,0.03
calibrationscore,1,0.03
stereotypescore,1,0.03
envtracescore,1,0.03
statisticalindependence,1,0.03
cachehitrate,1,0.03
operationtime,1,0.03
benignrefusalrate,1,0.03
promptalignment,1,0.03
layoutcoherence,1,0.03
efficiencyratio,1,0.03
scalabilityfactor,1,0.03
odrlvalidity,1,0.03
harmfulrate,1,0.03
responsesimilarity,1,0.03
learninggain,1,0.03
debuggingsuccess,1,0.03
reflectiondepth,1,0.03
testsuitepassrate,1,0.03
deescalationsuccess,1,0.03
toxicityreduction,1,0.03
latencysatisfaction,1,0.03
constraintviolationrate,1,0.03
allocationaccuracy,1,0.03
chairscore,1,0.03
acceptancescore,1,0.03
faultdetectionrate,1,0.03
shd,1,0.03
overfittingratio,1,0.03
abstentionaccuracy,1,0.03
humanlikeness,1,0.03
finetuningresilience,1,0.03
jailbreakrate,1,0.03
rsquaredscore,1,0.03
nasatlxscore,1,0.03
adjustmentcount,1,0.03
taskcompletiontime,1,0.03
explanationfluency,1,0.03
resourceusage,1,0.03
fairness,1,0.03
r2,1,0.03
hits1,1,0.03
safetyrate,1,0.03
gasusage,1,0.03
computationallatency,1,0.03
missionsuccessrate,1,0.03
coverageefficiency,1,0.03
parametervariance,1,0.03
reliability,1,0.03
traitconsistency,1,0.03
grade,1,0.03
stealthscore,1,0.03
executionsteps,1,0.03
bounderror,1,0.03
iterationmse,1,0.03
terminationaccuracy,1,0.03
memoryfootprint,1,0.03
trainingtokens,1,0.03
pass10,1,0.03
selectionaccuracy,1,0.03
biasdetectionscore,1,0.03
equalizedodds,1,0.03
assemblyaccuracy,1,0.03
ssim,1,0.03
epsilonviolation,1,0.03
topkaccuracy,1,0.03
utilizationrate,1,0.03
totalcost,1,0.03
distinct2,1,0.03
sloviolations,1,0.03
offlinethroughput,1,0.03
onlinelatency,1,0.03
energyuse,1,0.03
fluencyscore,1,0.03
solutiondiversity,1,0.03
humanjudgementscore,1,0.03
searchtime,1,0.03
responsecompliance,1,0.03
defensesuccessrate,1,0.03
xtremescore,1,0.03
nashequilibriumdeviation,1,0.03
ginicoefficient,1,0.03
dataleakage,1,0.03
privacyscore,1,0.03
queryaccuracy,1,0.03
clinicalsurveys,1,0.03
readability,1,0.03
trialcount,1,0.03
temporalconsistencyscore,1,0.03
informationcoefficient,1,0.03
stylestability,1,0.03
retryrate,1,0.03
alpha,1,0.03
scorecorrelation,1,0.03
xparacon,1,0.03
strategyaccuracy,1,0.03
payoffscore,1,0.03
monetarycost,1,0.03
runtimecost,1,0.03
solutionquality,1,0.03
attentionentropy,1,0.03
architecturalvalidityrate,1,0.03
driftscore,1,0.03
structuraldiversity,1,0.03
intentpreservation,1,0.03
constraintcompliance,1,0.03
humancorrelation,1,0.03
temporalconsistency,1,0.03
ruleprecision,1,0.03
surveyscores,1,0.03
knowledgecoherence,1,0.03
convergencetime,1,0.03
controllerarea,1,0.03
energyefficiency,1,0.03
disparityindex,1,0.03
kvcachememory,1,0.03
score,1,0.03
profit,1,0.03
temporalmap,1,0.03
videoqaaccuracy,1,0.03
correctnessrate,1,0.03
feedbackquality,1,0.03
difficultycorrelation,1,0.03
culturalbiasscore,1,0.03
carecompleteness,1,0.03
harmseverity,1,0.03
harmfrequency,1,0.03
reactiontime,1,0.03
endtoendscore,1,0.03
biasvariance,1,0.03
migrationaccuracy,1,0.03
riskcoverageauc,1,0.03
selectiveaccuracy,1,0.03
powerloss,1,0.03
voltagedeviation,1,0.03
stylematch,1,0.03
costsaving,1,0.03
explanationfidelity,1,0.03
pragmaticquality,1,0.03
rubricscore,1,0.03
variance,1,0.03
benchmarkaccuracy,1,0.03
stablerank,1,0.03
specificity,1,0.03
traininglossvariance,1,0.03
averagestepcount,1,0.03
triggeredaccuracy,1,0.03
harmfuloutputscore,1,0.03
misalignmentrate,1,0.03
readabilityindex,1,0.03
interpretability,1,0.03
retentionrate,1,0.03
forgettingrate,1,0.03
clinicalutility,1,0.03
privacyloss,1,0.03
carerestraint,1,0.03
gsm8kaccuracy,1,0.03
expertusage,1,0.03
routerentropy,1,0.03
safetyviolationcount,1,0.03
guidelineadherencescore,1,0.03
cognitivebiaserrorrate,1,0.03
truthfulnessscore,1,0.03
planlength,1,0.03
wordordererrorrate,1,0.03
bartscore,1,0.03
ate,1,0.03
therapeuticalliance,1,0.03
clinicalappropriateness,1,0.03
ipc,1,0.03
topologyscore,1,0.03
costefficiencyratio,1,0.03
stereosetscore,1,0.03
networkthroughput,1,0.03
ndcg5,1,0.03
chrf,1,0.03
ter,1,0.03
embeddingsimilarity,1,0.03
symbolicrecoveryrate,1,0.03
endtoendlatency,1,0.03
tokenentropy,1,0.03
speakerconsistency,1,0.03
perplexityscore,1,0.03
welfareloss,1,0.03
envyscore,1,0.03
paymentdeviation,1,0.03
leakagescore,1,0.03
humanevalpass1,1,0.03
