,count
behavioralrange,1
switchingpoint,1
relationdiversity,1
entitiesperrelation,1
entitydegree,1
relationcount,1
maae,1
lame5,1
cxr,1
cvr,1
lossrate,1
lpd,1
normalizedregret,1
averageregret,1
simpleregret,1
matchrate,1
stickrate,1
expressionaccuracy,1
resolved,1
rating,1
pass100,1
efficiencyscore,1
prefixcount,1
rankbiserialcorrelation,1
recallrate,1
memorizationratio,1
pathcoverage,1
jss,1
modelingaccuracy,1
e2etime,1
ettr,1
std32,1
worstk,1
cliffdelta,1
netreward,1
inferencecost,1
certaintyequivalent,1
probabilityweighting,1
lossaversion,1
guiltparameter,1
stringmatching,1
reconstructionrate,1
bypassrate,1
omissiondetection,1
inequityaversion,1
acceptancethreshold,1
meanoffer,1
purchaseintention,1
productrating,1
likertdeviation,1
averagelength,1
vendiscore,1
codebertscore,1
imagereward,1
aestheticscore,1
actioncounts,1
valuecorrectness,1
forcedderivation,1
derivationcorrectness,1
transitioncoverage,1
statecoverage,1
deltaynqa,1
deltamcqa,1
strongrejectrubric,1
categorybinary,1
jailbrokenbinary,1
cachemissrate,1
expertisescore,1
flowscore,1
relevancyscore,1
breadthscore,1
depthscore,1
accuracyscore,1
plagiarismscore,1
paragraphcount,1
sentencecount,1
descriptivestatistics,1
kappascore,1
engagementintention,1
stereotypescore,1
nss,1
kld,1
ar,1
fidscore,1
runtimecost,1
anm,1
hybridscore,1
jrminmax,1
jbpbratio,1
jssproxy,1
jssearly,1
textcomplexity,1
inputcount,1
meanseverity,1
severityscore,1
accuracypertoken,1
planningsuccessrate,1
longrangedependencyresolution,1
informationcoverage,1
memoryefficiency,1
solutionusability,1
dependencytraversal,1
crossfileconsistency,1
multisessionmemoryretention,1
executionsuccessrate,1
allocationtime,1
profilingtime,1
priorityscore,1
intentalignment,1
violation,1
icatscore,1
hr5,1
l1loss,1
overallfunniness,1
intelligence,1
reasoningtokens,1
taskcoverage,1
overtonscorew,1
overtonscore,1
binaryaccuracy,1
irtiq,1
cttiq,1
retainedratio,1
flopsratio,1
unitoverlap,1
uniquebeliefs,1
cuik,1
trainingcost,1
eqs,1
valueactiongap,1
agreementpercentage,1
prauclift,1
fp,1
tp,1
tflops,1
forgetting,1
projectionenergy,1
grassmanndistance,1
mscore,1
operability,1
brevity,1
aurc,1
hr10,1
pv,1
pc,1
meandeltaperplexity,1
seenextractionrate,1
totalextractionrate,1
stylescore,1
factualityscore,1
recall3,1
perceptionscore,1
speedscore,1
lanechangescore,1
controldepth,1
controlprecision,1
paradoxseverity,1
validpercent,1
judgeaccuracy,1
aupd,1
sentimentpolarity,1
verifiergain,1
verifieraccuracy,1
solveraccuracy,1
abandonrate,1
threatrate,1
resistancerate,1
geekbenchscore,1
decodingspeed,1
expertagreement,1
geometricmean,1
jobtime,1
messagesize,1
pr,1
pb,1
tpr1,1
vram,1
format,1
major8,1
pass8,1
anll,1
errorscore,1
fractiontrue,1
jensenshannondistance,1
nonresolved,1
turncount,1
pagefaults,1
top1error,1
bestresult,1
stoptime,1
besttime,1
gpucost,1
holisticscore,1
likertscores,1
sourceattribution,1
tripletaccuracy,1
generality,1
efficacy,1
nontargetretainaccuracy,1
targetforgettingaccuracy,1
reclatency,1
recoveryratio,1
regressioncount,1
recoverycount,1
bic,1
pseudor2,1
disclosurerate,1
fn,1
mdd,1
deployabilitytrust,1
actionability,1
safetypassrate,1
rationalevalidity,1
sop,1
scenariocoverage,1
answermatch,1
tlbmisses,1
veracity,1
criticalanalysis,1
synthesis,1
structure,1
actionfrequency,1
timetoimpact,1
originalityproportion,1
emissionrate,1
imageconsistency,1
imagealignment,1
imagequality,1
textalignment,1
languagemodelingscore,1
faultcoverage,1
togglecoverage,1
statementcoverage,1
nvr,1
p,1
s,1
n,1
looseaccuracy,1
tn,1
confidencescore,1
selfconsistency,1
mattr,1
writingerrors,1
grammarcoverage,1
lena,1
lent,1
compliancerate,1
likertquestionnaires,1
tasktime,1
distinct2,1
tfidfcosine,1
noveltyscore,1
insightprecision,1
contentvalue,1
depthofcontent,1
parametervalidation,1
toolcalling,1
weightedscore,1
dominance,1
appscore,1
cascore,1
pscore,1
tscore,1
tooluse,1
prmaccuracy,1
missrate,1
finalaccuracy,1
clear,1
cvrma,1
ciderd,1
yulek,1
backtrackingrate,1
optimalmoves,1
moves,1
avgerrors,1
codestability,1
intrinsicdimension,1
inputcoverage,1
fasc,1
nir,1
iasr,1
qsr,1
alr,1
answerlength,1
nonharmfulness,1
reflectionrate,1
executionvalidity,1
roccurve,1
lcssimilarity,1
charactererror,1
overdeflectionrate,1
sadness,1
fear,1
trust,1
arousal,1
valence,1
sentiment,1
fleschreadability,1
hdddiversity,1
hapaxrate,1
accelerationrate,1
alignmentreward,1
oodalignment,1
helixcontent,1
frequencyscore,1
structurescore,1
languageconsistency,1
answercoverage,1
mine1score,1
informationretention,1
satisfaction,1
importance,1
t2u,1
wallclocktime,1
attributionaccuracy,1
foolrate,1
semscore,1
answerquality,1
lengthratio,1
spatial,1
causal,1
temporal,1
outputalignment,1
rosettaenergy,1
communicationreduction,1
selforganizationratio,1
cooperativetoolratio,1
unittestsuccess,1
executionsuccess,1
equalizedodds,1
demographicparity,1
adversarialaccuracy,1
designgoalscore,1
hammingdistance,1
coilcontent,1
seedfiles,1
calldepth,1
functioncoverage,1
edgecoverage,1
uniquevulnerabilities,1
vulnerabilitycount,1
awarenessscore,1
peakthroughput,1
repaircount,1
colorattribute,1
position,1
colors,1
counting,1
twoobjects,1
singleobject,1
logical,1
rve,1
sc,1
legalmovecalls,1
costpergame,1
tokenspermove,1
gameduration,1
acceptedlength,1
im,1
wcsr,1
drfr,1
isr,1
gptscoring,1
syntaxvalidity,1
averagesuccess,1
functionreachability,1
clioptions,1
winpercent,1
undercounting,1
overcounting,1
dbcv,1
inversepurity,1
generalizedaccuracy,1
anls,1
compositional,1
teleological,1
causality,1
serenhit,1
typematch,1
serendipitycoverage,1
setoverlap,1
interpretabilitycost,1
averagecalls,1
truepositives,1
matchproportion,1
resourcesavings,1
overenggreduction,1
locationvisits,1
activitydistribution,1
behaviorproportion,1
wrongmoves,1
wrongactions,1
instructionerrors,1
checkmaterate,1
movespergame,1
bestmoverate,1
inaccuracyrate,1
mistakerate,1
blunderrate,1
recalltopk,1
harmvariance,1
meanharm,1
averageconsistency,1
efficiencyratio,1
retrievalsuccess,1
clustercount,1
compilationerrors,1
ifeval,1
costperimprovement,1
levelwisesuccessrate,1
jointgoalaccuracy,1
boardstatecalls,1
netgain,1
falsediscovery,1
falsepositives,1
parallelrelevance,1
finderscore,1
hierarchicalaccuracy,1
idaccuracy,1
fpr95,1
uniquebugs,1
bugcount,1
birthsdeaths,1
populationsize,1
topn,1
textquality,1
revenue,1
likertratings,1
rankedpairs,1
copelandmethod,1
maximallotteries,1
lmloss,1
ingestiontime,1
recoverypercentage,1
lazytest,1
ignoredtest,1
generalfixture,1
exceptionhandling,1
emptytest,1
userratings,1
repairrate,1
compilerate,1
accuracyperjoule,1
energyjoules,1
map05,1
targetingrate,1
assertioncorrectness,1
conditionalsuccess,1
duration,1
uniquestates,1
suppressionrate,1
enhancementrate,1
frequencyratio,1
amplituderatio,1
ias,1
warningadequacy,1
proofadequacy,1
keywordalignment,1
summaryconsistency,1
robustpassk,1
functionalpass5,1
syntaxpass5,1
mre,1
mysteryguest,1
magicnumbertest,1
recall1discovery,1
recall1anyplay,1
hazarddetectionrate,1
safesuccessrate,1
safetyrate,1
nernorm,1
eagertest,1
duplicateassert,1
defaulttest,1
constructorinitialization,1
conditionaltestlogic,1
assertionroulette,1
mutationscore,1
methodcoverage,1
goalrecall,1
reasoningscore,1
winningrate,1
partialmatch,1
cudamemory,1
batchsize,1
perfectrate,1
solvable,1
crloss,1
successprobability,1
unknowntest,1
sleepytest,1
sensitiveequality,1
resourceoptimism,1
redundantassertion,1
redundantprint,1
improvement,1
solved,1
mard,1
cayleynormalized,1
cayleydistance,1
subfieldcompleteness,1
subfieldaccuracy,1
airelevanceaccuracy,1
defensesuccess,1
posnorm,1
neraccuracy,1
lemmaaccuracy,1
posaccuracy,1
answerconsistency,1
workloadbalance,1
robotutilization,1
examscores,1
diagnosisscore,1
feasibilityscore,1
coldrecall5,1
phicoefficient,1
lift,1
meanrelativeaccuracy,1
blockrate,1
uncertaintyrate,1
validsyntax,1
successfullyparsed,1
overheadpercentage,1
totalruntime,1
fencevalidation,1
fencegeneration,1
correctnessscore,1
i2,1
hedgesg,1
minmax,1
trajectoryrealism,1
memoryreadwrite,1
kvload,1
attentionlatency,1
logicalcalibration,1
uncertaintyawareness,1
evidentialstrength,1
multibrierscore,1
rewardperstep,1
wumpuskill,1
blindrejection,1
readiness,1
prescriptivity,1
prescriptionsyndromecongruence,1
cotaccuracy,1
cotcontentcompleteness,1
topkmass,1
negativelogprobability,1
nexttokenaccuracy,1
solutionmultiplicity,1
normalizededitdistance,1
npv,1
thw,1
distance,1
tlc,1
ttc,1
collisionrate,1
eggertest,1
cochranq,1
simtoreal,1
longtailcoverage,1
interactionconsistency,1
objectusability,1
distancelimitdifference,1
anglelimitdifference,1
originpositiondifference,1
axispositiondifference,1
typeconsistency,1
computationalcost,1
npm,1
td,1
t,1
ap25,1
totalreward,1
normalizedlearninggain,1
issueresolution,1
overfittingrate,1
mpiscore,1
complementarypatching,1
overlappingpatching,1
patchingsuccess,1
tradeoffscore,1
overrefusalrate,1
softmatch,1
zscore,1
planningattempts,1
stereotypepercentage,1
edgedensity,1
spectraldistance,1
curvaturekl,1
accelerationkl,1
ginicoefficient,1
temporalscore,1
failurepoints,1
numbersteps,1
mpn,1
meaning,1
worderrorrate,1
asrd,1
rrd,1
rr,1
uua,1
bu,1
simus,1
simid,1
directeffect,1
invariantaccuracy,1
topicrelativeness,1
outputcost,1
inputcost,1
flipaccuracy,1
alteredaccuracy,1
originalaccuracy,1
yesaccuracy,1
robustaccuracy,1
hops,1
complexity,1
solvingtime,1
memorycost,1
cramérv,1
effectivenessscore,1
stancescore,1
multihopconsistency,1
helpfulnessscore,1
meanspeedup,1
deltamae,1
quadratickappa,1
testcoverage,1
maxlatency,1
relevance10,1
tokenretention,1
taskcompletions,1
citationrate,1
auditcompleteness,1
memoryhits,1
redundantcalls,1
policyviolations,1
contextlength,1
processingspeed,1
relativecitationratio,1
fieldcitationratio,1
predictionbias,1
anovaf,1
calibrationgap,1
selfreportscore,1
altruismrate,1
altruismbias,1
generationspeed,1
outputerror,1
errorstatustracking,1
activationhandling,1
logic,1
mermaidonly,1
syntax,1
harmlessnessscore,1
lracc,1
ffs,1
cs,1
gs,1
tss,1
cpr,1
afs,1
psi,1
gif,1
fullmatchexact,1
minlatency,1
graphdistancepenalty,1
cse,1
storage,1
intensityscore,1
categorynormalizedcitation,1
runningcost,1
relativedeviation,1
averagemakespan,1
bestmakespan,1
makespan,1
meanvelocity,1
euclideandistance,1
averagesentiment,1
likability,1
reachtime,1
gputime,1
cooccurrenceprobability,1
wbon,1
majn,1
bokacc,1
lrmaj5,1
normalizedlatency,1
structdiff,1
visagescore,1
harmfulresponserate,1
averageloss,1
crossentropyloss,1
estimationerror,1
fullmatchfuzzy,1
thoughtfulness,1
innovativeness,1
fieldmatchfuzzy,1
fieldmatchexact,1
fullstructurematching,1
fieldmatchingaccuracy,1
schemavalidationaccuracy,1
qualitypriceratio,1
polysemycount,1
nonzeroparameters,1
totalparameters,1
proxyperplexity,1
triggertime,1
invalidrate,1
elitehitrate,1
insertionrate,1
averagestereotypeprobability,1
usability,1
normalizedcoverage,1
bugstriggered,1
bugsreached,1
runtimeimprovement,1
searchefficiency,1
kernelruntime,1
exactaccuracy,1
fuzzymatching,1
mannwhitneyutest,1
bert,1
icacc,1
bloomlevel,1
pairaccuracy,1
figureaccuracy,1
questionaccuracy,1
kappa,1
technicality,1
functionality,1
informationgathering,1
contentmanipulation,1
semanticdifferentiation,1
meanpolysemy,1
meantoxicity,1
toxicitydelta,1
conditionalelitehit,1
prds,1
nrds,1
reportlength,1
fkgl,1
fre,1
anid,1
informativeness,1
bugdetection,1
statuscodecoverage,1
datatypecorrectness,1
systemscenariocoverage,1
unitscenariocoverage,1
pscp,1
purchasesperdataset,1
freeeval,1
engagementbalance,1
questionrate,1
fleschease,1
uniquetokens,1
sentencelength,1
wordlength,1
argumentativeness,1
exclamationcount,1
pageaccuracy,1
documentaccuracy,1
architecturalviolation,1
maintainabilityindex,1
lloc,1
toxicitystd,1
gpt4o,1
tcr,1
hm,1
csrr,1
e3score,1
policyextractiontime,1
successratio,1
networkusage,1
networkoverhead,1
tempscore,1
timingscore,1
pvmatch,1
powerlawexponent,1
degreedistribution,1
repeatpurchases,1
purchasesperbuyer,1
sentimentshift,1
toxiccount,1
youcount,1
pronounbias,1
assertiveness,1
cpudelta,1
throughputloss,1
blockinglatency,1
blockingrate,1
generalizationconsistency,1
infectionintegrity,1
flopbudget,1
compressionerror,1
capitalization,1
principlescore,1
rgold,1
calculationtime,1
communicationtime,1
maintainabilityscore,1
psarate,1
submittedrate,1
dtwdistance,1
averagetraveltime,1
textualsimilarity,1
performancescore,1
